id,name,description
40,Ainslie Lake District,"Verna MacMillan's Lake Ainslie tartan is a poignant commemoration of the breathtaking beauty found in the west coast of Cape Breton Island, Nova Scotia. This commemorative tartan was designed to celebrate the Bicentennial of Cape Breton's settlement in 1855, and its distinctive pattern is said to be inspired by the tranquil waters of Lake Ainslie itself. As a tribute to the region's rich heritage, this tartan weaves together hues of deep blue, evoking the Atlantic Ocean that surrounds the island, with touches of gold, red, and green - symbolic colours reminiscent of the natural world and the region's Celtic roots. This captivating design serves as a fitting tribute to the area's storied history and its people, forever etching itself into the fabric of Canadian tradition."
41,Ainslie [default],"Ainslie #2 is a traditional Clan tartan steeped in Scottish heritage, woven with meticulous attention to detail. Designed by renowned textile expert Dr Philip D Smith Jr, this intricate pattern pays homage to the storied history of the Ainslie family, whose legacy dates back centuries. The complex interplay of blues and reds evokes the rugged landscapes and rich cultural traditions of Scotland's Highlands. As part of the Clan tartan category, Ainslie #2 is a proud representation of the family's honour and heritage, passed down through generations. While no restrictions are currently in place for this tartan, its status as an officially registered design ensures that it remains true to its roots, continuing to be cherished by those with Scottish ancestry and connection to the Ainslie clan."
43,Aitken [default],"The Aitken tartan is a fascinating example of a non-registered clan tartan, its origins shrouded in mystery despite being worn with pride by its owner, Peter Aitken. Discovered on a vintage blanket purchased in New Zealand, this intriguing design tells the story of a family's unique heritage. The registration notes reveal that the blanket was originally part of a modern textile, suggesting that the Aitken tartan may have been adopted as a way to connect with Scottish roots. While not officially recognized by the Tartans Authority or other governing bodies, the Aitken tartan remains an important part of its owner's personal history and cultural favour, serving as a poignant reminder of Scotland's rich textile heritage and the enduring power of tradition."
44,Aiton [default],"The Aiton/Ayton tartan is a storied Scottish heritage fabric, steeped in tradition and history. As a Clan/Family tartan, it holds significant cultural importance, passed down through generations of the Ayton family. Woven with precision and care, this intricate pattern tells the story of a noble lineage and the lands they once called home. Designed by Ayrton S ?, this tartan has been officially registered, ensuring its authenticity and integrity for future generations to cherish. Originally woven in the occupational therapy department of Bellsdyke Hospital, it highlights the tartan's versatility and adaptability beyond traditional clan associations. The Ayton/Aiton tartan is a testament to Scotland's rich tapestry of heritage and tradition, weaving together history, culture, and identity in its every thread."
47,Akins [default],"The Akins Red Dress is a rich and vibrant Name tartan, steeped in family heritage and tradition. Its distinctive hues, carefully chosen by Steven L Akins, are inspired by the colours of his coat of arms, imbuing the fabric with a deep sense of identity and history. This tartan's significance lies not only in its beauty, but also in its connection to one's clan ancestry, making it a treasured possession for those who wear it as a badge of honour. As a Name tartan, it is reserved exclusively for members of the Akins family, adding an extra layer of exclusivity and intimacy to this already meaningful design."
57,Alexander (TL) personal,"The Alexander tartan, registered under Peter MacDonald's skilled hands, is a testament to the enduring legacy of Scotland's clans and families. As a Name tartan, it was specifically designed for Mr TL Alexander's personal use, imbuing the pattern with an intimate connection to his heritage. This distinctive design weaves together the rich threads of Scottish tradition, evoking the warmth and camaraderie of the highlands. Though reserved for private use due to restrictions, the Alexander tartan remains a cherished symbol of Scottish identity, waiting to be worn with pride by those who hold it dear. Its preservation in the Dalgety Collection serves as a poignant reminder of the importance of preserving Scotland's cultural heritage, and its subtle beauty will forever be tied to the life and legacy of Mr TL Alexander."
59,Alexander Hunting,"The Alexander Hunting tartan is a storied clan tartan, woven with precision by Peter MacDonald to pay tribute to its esteemed namesake, Mr TL Alexander. This family tartan holds deep significance within the Clan MacDonald heritage, denoting loyalty and kinship among those who bear it. Originally designed for personal use, this tartan now resides in the annals of Scottish tradition, a testament to the enduring legacy of the MacDonald clan. Though restricted to its original owner, this tartan remains an important part of Scotland's rich cultural fabric, reflecting the values of family, honour, and loyalty that have defined the Clan MacDonald for centuries."
60,Alexander of Menstry [default]<br/>[AKA] Alexander of Menstry,"The Alexander of Menstry tartan is a deeply personal and meaningful design, crafted by Raydon Eiland Alexander with the intention of honouring his ancestors from Menstrie, a village at the foot of the Ochil Hills in Clackmannanshire. The distinctive purple and green block colours evoke the heather and grass of Scotland's rolling hills, while the white lines on blue are reminiscent of the Scottish Saltire flag when rotated through 45 degrees, paying homage to the country's rich heritage. This Clan tartan is a tribute to the ten Alexanders who emigrated from Menstrie in 1669, settling in Virginia and leaving behind a lasting legacy in the American South. By wearing this tartan, its wearers are connected to their ancestral roots and to the proud tradition of Alexander families around the world."
61,Alexander of Menstry Dress<br/>[AKA] Alexander of Menstry; Dress,"The Alexander of Menstrie Dress is a poignant tribute to the heritage of Scotland's clans, particularly those with the storied name of Menstrie. Designed by Raydon Eiland in 2002, this family tartan pays homage to the ancestors who left their mark on history - specifically, the nine siblings and their father who emigrated from Menstrie (at the foot of the Ochil Hills) to Virginia in 1669. The subtle nod to Nova Scotia's flag and arms is a testament to the enduring legacy of Alexander, Earl of Stirling, whose pioneering spirit continues to inspire this tartan. With its unique blend of purple and green hues evoking the heather and grass of the Ochils, this fabric weaves together generations of tradition, history, and familial pride. By wearing this tartan, one not only bears the name of a distinguished clan but also connects with the rich tapestry of Scotland's cultural heritage."
62,Alexander of Menstry Hunting<br/>[AKA] Alexander of Menstry; Hunting,"The Alexander of Menstrie Hunting tartan is a rich and evocative tribute to the storied heritage of Scotland's noble clans. Registered in 2002 by its talented designer, Raydon Eiland Alexander of San Antonio, Texas, this hunting tartan draws inspiration from the Ochil Hills in Clackmannanshire, where the Menstrie family originated. The design cleverly incorporates traditional elements, with purple and green blocks representing the heather and grass of the local landscape, while white lines on blue form a subtle yet striking echo of the Scottish Saltire flag. This tartan is a testament to the enduring legacy of Alexander descendants from this prominent clan, who emigrated to Virginia in 1669 and left an indelible mark on American history. As a symbol of family pride and cultural connection, the Alexander of Menstrie Hunting tartan is a treasured heirloom for those bearing the name, and a celebration of Scotland's timeless traditions."
66,Algarve [default],"The Algarve tartan is a unique and captivating pattern steeped in rich cultural heritage, originating from Portugal's picturesque southern coast. This intriguing design, categorised as 'Other', bears testament to the country's distinctive textile traditions, albeit influenced by the meticulous research of Johnston/Smith in their seminal work 'Tartans'. Specifically, the threadcount was inspired by traditional Portugese woman's head coverings, a nod to the region's rich folkloric legacy. The Algarve tartan is not associated with any specific clan or family heritage, but rather stands as a celebration of its unique cultural roots, evoking the warmth and beauty of Portugal's sun-kissed landscapes. Its registration notes serve as a poignant reminder of the importance of preserving traditional textiles and respecting their origins, while its design invites wearers to embody the essence of Portuguese tradition with elegance and pride."
71,All Ireland Red,"All Ireland Red is a stunning District tartan, carefully crafted by renowned weavers at Lochcarron of Scotland in 1997. This richly coloured tartan pays tribute to the historic connections between Scotland and Ireland, reflecting the shared heritage that has woven these nations together for centuries. With its deep reds and subtle earth tones, All Ireland Red evokes the warmth and vitality of a bygone era, when both Scots and Irish people forged strong bonds through trade, culture, and community. This beautifully balanced design is a testament to the enduring spirit of Celtic unity, inviting wearers to claim their place in a proud tradition that spans the Emerald Isle and the Highlands."
72,Allan [default],"The Allen tartan, registered in 1996, is a stunning representation of Scottish heritage and tradition, specifically tied to the esteemed surname of Harry Cecil Allen, born in Edinburgh on July 17, 1912. This Name tartan was meticulously designed by Deborah DeWolf Allen, daughter-in-law to the original Harry Cecil, who generously bestowed her creation upon those wishing to bear the family name. With its rich, muted colours and precise threading, the Allen tartan embodies a sense of Scottish pride and heritage, evoking the storied past of this iconic clan name. While specific restrictions apply, this tartan remains an honourable choice for those seeking to connect with their Scottish roots, making it a cherished addition to any family's tartan legacy."
73,Allanton Dress,"The Allanton Dress Tartan is a timeless fashion favourite, steeped in the rich heritage of Scotland's textile tradition. This stunning tartan was carefully crafted by D MacArthur of Darvel, Ayrshire, to evoke the elegance and sophistication of the 18th-century Highland dress. As a Fashion tartan, it has been specifically designed for wearability and style, making it an ideal choice for anyone seeking to add a touch of Scottish flair to their wardrobe. With its unique colour palette and intricate sett pattern, this tartan is a testament to the skill and craftsmanship of Scotland's textile artists, who have been weaving beautiful patterns like Allanton Dress for centuries."
74,Allanton,"The Allanton tartan is a captivating fashion design that embodies the elegance and sophistication of Scottish heritage. Registered as a fashion tartan, it showcases the artistry of D MacArthur, who brought this unique pattern to life at Darvel. According to the registration notes, Allanton was carefully crafted with precision and attention to detail, reflecting the rich cultural traditions of Scotland's textiles. This beautiful tartan is now available for designers and enthusiasts alike to incorporate into their creations, allowing the wearer to embody a touch of Scottish flair and style. As a testament to the enduring legacy of Scotland's tartans, the Allanton design is poised to make a lasting impression on the fashion world, its beauty and craftsmanship inspiring a new generation of fans."
75,Allan 1998 (Personal),"The Allen tartan, designed by Keith Lumsden in 1998, is a storied Name tartan born from a desire to represent those bearing the surname Allen, as well as their variants. This richly woven fabric reflects the heritage of Christopher Allen Holler, an individual from Winter Park, Florida, whose name inspired the creation of this distinctive tartan. With its complex interplay of blues and greens, evoking the rolling hills and glacial waters of Scotland's Highlands, the Allen tartan embodies a connection to Scottish tradition that transcends geographical boundaries. As a Name tartan, it is reserved for those who bear the surname Allen or its variations, serving as a tangible thread between past and present, culture and identity."
76,Allan Hunting (Personal),"The enigmatic Allen Hunting tartan, shrouded in mystery and Scottish heritage, weaves a tale of ancestral roots and cultural exchange. Discovered through a threadcount taken from a plaid belonging to Bonita L Allan's Currie grandmother, this Ayrshire-inspired variation is believed to be an authentic local rendition of the Thomson tartan. Passed down through generations, it was later adopted by Christopher Allen Holler from Florida as his own distinctive Allen Hunting design. This intricate pattern holds within it the whispers of Scottish tradition and family legacy, its significance tied to the curative ties that bind heritage to identity."
77,Allan Joy's Fancy (Personal),"Joy's Fancy is a vibrant and intricate name tartan, steeped in Scottish tradition and heritage. Registered to Dr Philip D Smith Jnr, this unique design was woven with great care by Rob Robb, and worn with honour by Allen Joy in 1996. As a personal tartan, it holds a special place within the family's history, evoking memories of joyous occasions and cherished moments. A testament to the artisanal skills of its creator, Joy's Fancy is a beautiful example of the traditional weaving techniques that have been passed down through generations of Scottish weavers. This distinctive tartan is now a treasured part of Allen Joy's legacy, proudly carrying his family name with distinction and a sense of proud tradition."
78,Allen of Northumbria,"The Allen - Northumbrian tartan is a quintessential representation of Scottish heritage, born from the hands of renowned designer Jeremy M P Allen. This highly personal and exclusive tartan was created to commemorate the family ties of its original owner, Jerry M P Allen, who carefully crafted it for his immediate family and relations. Originally registered as a Name tartan, this distinctive pattern is steeped in tradition and history, drawing inspiration from the rich cultural landscape of Northumbria. While its beauty and significance are undeniable, this tartan comes with a rare and honour-bound stipulation: permission must be sought from Jeremy M P Allen himself for others to wear it, underscoring the importance of family legacy and heritage."
84,Allison [default],"The Allison (MacGregor-Hastie) tartan is a timeless example of Scotland's rich textile heritage, woven from a deep connection to the country's clans and family histories. This traditional Name tartan is named after the MacGregor-Hastie clan, whose roots stretch back through generations of proud Highlanders. The subtle yet distinct sett, recorded in 'Clans Originaux' (1880), was carefully extracted from an original cloth sample held by the Scottish Tartans Society, providing a tangible link to the past. With its unique colour palette and intricate thread pattern, this tartan is not only a testament to the ingenuity of Scotland's weavers but also a celebration of the enduring legacy of the MacGregor-Hastie family, whose history has been forever intertwined with that of the Scottish Highlands."
86,Allt Dubh,"Allt Dubh (Black Burn), a majestic fashion tartan inspired by the mysterious depths of Scotland's Highland streams, embodies the rugged beauty of the country's wild heartland. Designed by D Tulloch, a renowned textile expert from Thomas Gordon & Sons, this distinctive pattern is meant to evoke the dramatic atmosphere of a dark burn, veiled in heather and shrouded in mist. The restrictions on its use are a testament to the importance of preserving traditional Scottish heritage, as this tartan holds a special place within the cultural fabric of Scotland's clans and communities. As an iconic fashion design, Allt Dubh is poised to captivate those drawn to the timeless allure of the Highlands, while also respecting the intricate web of history and tradition that underpins it."
104,American Society of Travel Agents,"The American Society of Travel Agents, The tartan is a unique corporate design that weaves together threads of heritage and tradition to reflect the esteemed history of its namesake organisation. Created by renowned Scottish textile experts at Kinloch Anderson Ltd, this distinctive tartan pays homage to the Davidson sett, a traditional Scottish pattern dating back centuries. The design's roots lie in the 1930s, when the American Society of Travel Agents (ASTA) first came into being, with its inaugural Chairman, Mr E Irvine Davis, setting the tone for the organisation's values and principles. As a registered corporate tartan, it is now reserved exclusively for use by ASTA members and affiliated entities, serving as a symbol of pride and connection to this important chapter in American travel history."
105,AMEX American Express,"The American Express tartan is an iconic corporate design that pays homage to Scotland's rich heritage, bearing the mark of the storied MacWilliam Clan. Originally based on their traditional tartan, this distinctive pattern has been adapted by Kinloch Anderson Ltd for incorporation into the prestigious American Express brand identity. Established in 1903 and acquired by WA Williamson Ltd in 1920, the company's Glasgow roots are woven seamlessly into this corporate tartan, symbolising a legacy of tradition and heritage that continues to influence modern business and design. As a testament to Scotland's enduring cultural significance, the American Express tartan serves as a powerful emblem of innovation, excellence, and global reach."
106,Amnesty International,"The Amnesty tartan, designed by esteemed Scottish textile artist Scarlett MBE, Jamie, is a poignant tribute to the iconic human rights organisation's 40th anniversary celebration. As a commemorative tartan, it serves as a testament to Amnesty International's unwavering commitment to protecting and promoting human dignity across cultures and borders. The carefully selected colours reflect the organisation's dedication to bridging the divides of nationality, creed, and colour, evoking the rich tapestry of diversity that defines our global community. By wearing this tartan, individuals honour the courageous work of Amnesty International, paying tribute to its unshakeable principles of justice and compassion. As a badge of solidarity with this noble cause, the Amnesty tartan is a powerful symbol of unity in the pursuit of human rights and freedoms."
107,Ancient Atlantic,"The Ancient Atlantic tartan, with its rich and earthy tones, embodies the timeless spirit of Scotland's rugged coastlines. Designed by Sol Gillis in 1964, this Fashion tartan has become a staple in the world of textiles, evoking the mystery and grandeur of the Atlantic Ocean that borders Scotland's shores. With its subtle colour palette, this tartan is said to have been inspired by Miss K Sinclair's original design from February 1968, although Gillis himself claimed creation in 1964. An intriguing variation with only four colours threads can be seen, raising questions about its origins. Regardless, the Ancient Atlantic tartan remains a testament to Scotland's rich heritage and tradition of textile craftsmanship, perfectly capturing the essence of the country's majestic coastline."
110,Anderson Arisaid #2,"The Anderson Dress tartan is a storied and esteemed clan tartan, steeped in tradition and heritage. Registered with the Scottish Tartans Society, this tartan holds profound significance for the members of Clan MacKenzie, who are entitled to wear it as their family tartan. The distinctive pattern, characterized by its bold and vibrant colours, was originally designated for formal dress and is still worn today at clan gatherings and Highland events, serving as a symbol of honour and identity. Its legacy not only reflects the rich history and culture of Clan MacKenzie but also continues to celebrate the enduring traditions of Scottish heritage."
111,Anderson Blue,"Anderson Blue, a fashion-inspired tartan designed by renowned mill West Coast Woolen Mill in Vancouver, pays homage to the storied heritage of Clan Anderson. This muted blue variation on the classic tartan takes its cue from traditional Scottish weaving, evoking the rugged beauty of the North Atlantic coast where the clan was originally hailing. As a fashion tartan, Anderson Blue offers a sophisticated and understated alternative for those seeking a subtle nod to Scotland's rich cultural legacy. With its restrained colour palette, this tartan is suited to a range of formal and informal occasions, from high-end dressing gowns to tailored kilts and accessories."
112,Anderson Blue Westwood,"The Anderson Blue, a fashion tartan reimagined by the iconic Vivienne Westwood in 1993, embodies the intersection of tradition and innovation. Originally part of the Anderson family's heritage, this blue and white tartan was traditionally worn by members of Clan Campbell and later adopted as a distinctive colour scheme for the House of Campbell. Westwood's bold design modification injects new life into this storied pattern, infusing it with her signature eclectic flair. This Fashion category tartan is not tied to any specific clan or heritage group, instead becoming a statement piece in its own right, celebrating individuality and self-expression through the timeless language of tartan."
113,Anderson Green,"The Anderson Green tartan is a vibrant and stylish fashion tartan, designed by renowned Scottish textile experts at the West Coast Woolen Mill in Vancouver, Canada. This particular variation of the iconic Anderson tartan has been adapted to incorporate a fresh, modern twist, resulting in a stunning green version that embodies the spirit of the traditional clan tartan while evoking a sense of contemporary flair. Registration notes confirm its status as an official fashion tartan, available for use by designers and enthusiasts alike. With its unique blend of heritage and innovation, the Anderson Green tartan is a testament to Scotland's rich cultural heritage and the enduring appeal of traditional tartan design in modern times, perfect for adding a touch of subtle Scottish sophistication to any fashion ensemble."
115,Anderson of Ardbrake [default]<br/>[AKA] Anderson of Ardbrake,"The Anderson of Ardbrake tartan is a vibrant representation of Scottish heritage, born from the desire to create a distinctive family identity for those bearing the name Anderson. Designed by David A R Waterton-Anderson in response to member requests, this tartan proudly showcases a bold red background, reminiscent of the rich soil and rugged landscape of Scotland's north-east. The classic motif of broad white and two yellow (tramline) stripes on black provides a strong visual anchor, paying homage to the traditional associations of the Anderson name with the powerful Clan Gordon and other prominent families of the region. With its evocative colour palette and carefully considered design, the Anderson of Ardbrake tartan is a testament to the enduring spirit of Scottish clans and their rich history, proudly worn by those who bear this noble surname."
116,Anderson of Kinneddar Hunting<br/>[AKA] Anderson of Kinneddar; Hunting,"The Anderson of Kinneddar Hunting tartan is a revered clan tartan steeped in Scottish heritage, born from the skilled hands of David Waterton-Anderson in 1978. This majestic design, chosen by the renowned family, tells the story of their storied history and tradition of hunting prowess. With its intricate, closely-woven threads, this tartan embodies the proud heritage of Anderson, a name synonymous with bravery and nobility. As one of the many clan tartans registered with the Scottish Tartans Society, it is a testament to the enduring legacy of Scottish clansmen who wore these distinctive patterns on their kilts, sashes, and other traditional garments. Through its rich colours and technical precision, this tartan design proudly represents the Anderson family's honourable tradition, forever woven into the fabric of Scotland's storied past."
117,Anderson of Kinneddar Red<br/>[AKA] Anderson of Kinneddar; Red,"The Anderson of Kinnedear Red tartan is a testament to the rich heritage of Clan Anderson, one of Scotland's most storied clans. Designed by renowned tartan expert Peter MacDonald in 1993 at the behest of the Anderson Commander, Hope-Vere Anderson, this distinctive pattern pays homage to the clan's proud history and legacy. With its bold, crimson-red hues and intricate weave, this tartan embodies the spirit of Scotland's greatest families, evoking images of rugged Highlands landscapes, ancestral castles, and centuries-old traditions. As a registered Clan tartan, the Anderson of Kinnedear Red is an honour to wear, symbolising the wearer's connection to their Scottish roots and their place within the proud lineage of Clan Anderson."
118,Anderson Old,"The Anderson Old (Makinlay) tartan is a storied and storied clan tartan, steeped in the rich heritage of the Makinlay family. Its origins date back to the early 20th century, when James Makinlay painstakingly compiled a collection of hand-coloured tartan strips between 1930 and 1950. This labour of love is now preserved in the Scottish Tartans Society archive, serving as a poignant reminder of the craftsmanship and tradition that defines Scotland's iconic woven textiles. As a family tartan, the Anderson Old (Makinlay) holds great significance for those who claim descent from this illustrious clan, and its intricate pattern is a testament to the enduring legacy of James Makinlay's meticulous work."
119,Anderson Red,"The Anderson Red (Westwood) tartan is a vibrant, fashion-forward interpretation of Scotland's iconic heritage fabric, crafted by the renowned Vivienne Westwood. As a registered fashion tartan, its purpose is to evoke the spirit of Scottish culture and tradition, while also pushing the boundaries of modern style. Originally modified from the traditional Anderson tartan, this bold red variation has been meticulously recreated with precision, showcasing the meticulous attention to detail that defines the art of tartan design. Recognised by the Scottish Tartans Authority, its threadcount represents a tangible connection to Scotland's rich textile history. By embracing the iconic colours and motifs of the Anderson family's heritage fabric, Westwood's Anderson Red tartan pays homage to Scotland's storied past while forging a bold new path for fashion enthusiasts and tartan enthusiasts alike."
120,Anderson Ross,"The Ross Anderson tartan, registered for fashion purposes by renowned Scottish mill Botany Woolen Mills, tells the story of a complex heritage that has been shrouded in controversy. Named after two influential families - the esteemed Clan Ross and the distinguished Anderson clan - this tartan was originally conceived as a variation of the more well-known Anderson Grey, with Pendleton Woolens mistakenly dubbing it 'Ross-Anderson'. In reality, Botany Woolen Mills seems to have been inspired by the iconic Ross necktie they sold in California from 1935 to 1950. This tartan's intricate history is a testament to the fluidity of Scottish textile traditions and the sometimes blurry lines between cultural identity and commercial influence."
121,Anderson [default],"The Anderson tartan is an intricate and distinctive pattern steeped in Scottish heritage, its origins shrouded in mystery despite being recognised by several Highland Clans, including Clan Ross and Clan Donald. Dating back to the early 20th century, this complex weave showcases a fusion of traditional techniques with the influence of 'fancy' designs that emerged in the pre-1822 era, reflecting the burgeoning popularity of tartan wear among Scottish clansmen. According to historian James D Scarlett, its evolution was likely driven by the increasing demand for stylish and symbolic patterns, which ultimately led to the Anderson tartan being adopted as a clan tartan, its variations passed down through generations as a badge of family honour."
